/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d0_iiwa.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d1_iiwa.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d1_panda.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d0_panda.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d0_sawyer.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d0_panda.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d1_panda.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d0_ur5e.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d1_sawyer.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d0_sawyer.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d1_ur5e.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d0_iiwa.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d1_sawyer.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d1_ur5e.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/threading_d0_ur5e.hdf5,/home/bing_TUM/ehrensberger/master-thesis/imports/mimicgen/datasets/robot/square_d1_iiwa.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d1_panda.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d0_ur5e.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d0_iiwa.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d1_ur5e.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d0_panda.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d1_iiwa.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d0_ur5e.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d1_sawyer.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d1_panda.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d0_panda.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d0_sawyer.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d0_iiwa.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d1_sawyer.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d1_iiwa.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/threading_d0_sawyer.hdf5,/dss/dssfs04/lwp-dss-0002/pn36ce/pn36ce-dss-0000/ehrensberger/imports/mimicgen/datasets/robot/square_d1_ur5e.hdf5
232,248,194,194,232,136,135,161,155,155,134,138,248,193,248,171,135,161,138,193,194,248,248,248,194,136,155,232,155,171,232,134
232,232,249,215,248,135,156,160,163,138,138,155,248,248,260,160,156,160,155,248,215,232,260,248,249,135,138,232,163,160,248,138
205,211,206,215,241,156,156,134,163,155,155,138,248,241,241,165,156,134,138,241,215,211,241,248,206,156,155,205,163,165,241,155
232,232,233,215,241,135,139,138,138,155,155,165,260,232,232,138,139,138,165,232,215,232,232,260,233,135,155,232,138,138,241,155
232,241,233,212,241,156,135,161,155,134,160,135,205,193,214,155,135,161,135,193,212,241,214,205,233,156,134,232,155,155,241,160
260,241,215,215,241,156,139,138,135,165,155,155,211,214,260,155,139,138,155,214,215,241,260,211,215,156,165,260,135,155,241,155
232,232,233,200,232,135,156,138,161,161,155,135,241,232,232,138,156,138,135,232,200,232,232,241,233,135,161,232,161,138,232,155
232,232,261,215,193,139,164,160,160,138,135,165,248,241,214,135,164,160,165,241,215,232,214,248,261,139,138,232,160,135,193,135
211,260,233,215,214,136,156,138,135,163,134,138,211,232,241,155,156,138,138,232,215,260,241,211,233,136,163,211,135,155,214,134
232,260,249,261,248,139,136,160,165,165,155,134,193,214,248,161,136,160,134,214,261,260,248,193,249,139,165,232,165,161,248,155
232,241,206,200,214,135,156,163,155,161,138,134,241,232,211,163,156,163,134,232,200,241,211,241,206,135,161,232,155,163,214,138
211,248,206,215,214,161,139,155,165,155,134,138,193,241,232,163,139,155,138,241,215,248,232,193,206,161,155,211,165,163,214,134
205,211,261,206,205,135,156,160,160,138,163,171,214,241,260,155,156,160,171,241,206,211,260,214,261,135,138,205,160,155,205,163
232,232,206,261,232,139,135,171,165,171,163,163,211,241,248,163,135,171,163,241,261,232,248,211,206,139,171,232,165,163,232,163
205,211,194,261,248,135,156,161,155,163,155,138,241,232,260,163,156,161,138,232,261,211,260,241,194,135,163,205,155,163,248,155
232,248,215,249,248,156,156,171,163,163,135,155,211,241,214,155,156,171,155,241,249,248,214,211,215,156,163,232,163,155,248,135
232,232,261,249,248,135,139,155,171,165,138,155,211,260,260,155,139,155,155,260,249,232,260,211,261,135,165,232,171,155,248,138
232,232,233,261,232,136,164,160,163,165,155,165,248,232,232,161,164,160,165,232,261,232,232,248,233,136,165,232,163,161,232,155
241,241,212,194,260,161,164,155,163,155,160,134,211,211,232,134,164,155,134,211,194,241,232,211,212,161,155,241,163,134,260,160
193,260,206,242,232,139,139,161,155,155,155,135,232,260,260,165,139,161,135,260,242,260,260,232,206,139,155,193,155,165,232,155
232,205,194,215,193,136,156,160,171,155,163,138,241,260,232,138,156,160,138,260,215,205,232,241,194,136,155,232,171,138,193,163
241,232,200,233,260,156,166,138,161,138,163,134,205,241,193,161,166,138,134,241,233,232,193,205,200,156,138,241,161,161,260,163
241,248,212,261,241,139,156,134,155,161,134,171,205,232,232,163,156,134,171,232,261,248,232,205,212,139,161,241,155,163,241,134
248,232,194,200,232,166,156,165,138,160,135,138,241,260,232,155,156,165,138,260,200,232,232,241,194,166,160,248,138,155,232,135
260,241,233,212,211,161,164,135,155,135,163,163,205,241,260,155,164,135,163,241,212,241,260,205,233,161,135,260,155,155,211,163
211,241,249,242,260,166,166,163,155,163,161,134,260,241,260,165,166,163,134,241,242,241,260,260,249,166,163,211,155,165,260,161
211,214,242,242,193,164,156,171,163,165,135,165,193,211,260,134,156,171,165,211,242,214,260,193,242,164,165,211,163,134,193,135
232,214,212,242,260,139,136,160,163,155,155,165,205,193,241,161,136,160,165,193,242,214,241,205,212,139,155,232,163,161,260,155
260,211,242,233,205,166,136,160,161,163,138,165,260,260,260,155,136,160,165,260,233,211,260,260,242,166,163,260,161,155,205,138
248,193,261,200,205,156,139,160,135,155,155,135,241,260,260,135,139,160,135,260,200,193,260,241,261,156,155,248,135,135,205,155
248,260,249,242,205,161,166,138,134,161,138,155,241,241,241,163,166,138,155,241,242,260,241,241,249,161,161,248,134,163,205,138
232,232,212,261,214,172,156,155,160,171,165,155,211,205,214,165,156,155,155,205,261,232,214,211,212,172,171,232,160,165,214,165
241,241,194,233,214,166,156,135,160,135,161,135,260,193,241,161,156,135,135,193,233,241,241,260,194,166,135,241,160,161,214,161
232,260,242,249,211,161,162,135,155,160,138,138,260,248,241,135,162,135,138,248,249,260,241,260,242,161,160,232,155,135,211,138
214,241,194,194,211,164,139,138,155,165,134,135,193,248,232,135,139,138,135,248,194,241,232,193,194,164,165,214,155,135,211,134
241,248,233,261,193,172,156,134,160,160,165,155,232,241,241,171,156,134,155,241,261,248,241,232,233,172,160,241,160,171,193,165
248,232,194,242,241,156,172,171,163,155,138,155,241,214,232,155,172,171,155,214,242,232,232,241,194,156,155,248,163,155,241,138
232,193,194,200,193,156,156,138,165,134,155,171,193,193,241,171,156,138,171,193,200,193,241,193,194,156,134,232,165,171,193,155
